涛哥直播,#genre#
CCTV-15频道,http://beijinglive.online.domybox.com:91/live/CCTV15hd-8M/live.m3u8$TG•IPV4
CCTV-16频道,http://beijinglive.online.domybox.com:91/live/CCTV16hd-8M/live.m3u8$TG•IPV4
CCTV-17频道,http://beijinglive.online.domybox.com:91/live/CCTV17hd-8M/live.m3u8$TG•IPV4
凤凰中文频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw$TG•IPV4
凤凰资讯频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx$TG•IPV4
凤凰香港频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk$TG•IPV4
世界地理频道,http://zhancheng.x3322.net:6699/live/1087/index.m3u8$TG•IPV4
兵器科技频道,http://zhancheng.x3322.net:6699/live/1083/index.m3u8$TG•IPV4
第一剧场频道,http://zhancheng.x3322.net:6699/live/1081/index.m3u8$TG•IPV4
怀旧剧场频道,http://zhancheng.x3322.net:6699/live/1088/index.m3u8$TG•IPV4
风云剧场频道,http://zhancheng.x3322.net:6699/live/1082/index.m3u8$TG•IPV4
风云音乐频道,http://rihou.cc:555/cqyx.php?id=fyyy$TG•IPV4
风云足球频道,http://zhancheng.x3322.net:6699/live/1080/index.m3u8$TG•IPV4
女性时尚频道,http://rihou.cc:555/cqyx.php?id=nxss$TG•IPV4
文化精品频道,http://zhancheng.x3322.net:6699/live/1079/index.m3u8$TG•IPV4
高尔网球频道,http://zhancheng.x3322.net:6699/live/1078/index.m3u8$TG•IPV4
央视台球频道,http://zhancheng.x3322.net:6699/live/1077/index.m3u8$TG•IPV4
电视指南频道,http://zhancheng.x3322.net:6699/live/1084/index.m3u8$TG•IPV4
中国教育频道,http://mobilelive-ds.ysp.cctv.cn/ysp/2022823801.m3u8$TG•IPV4
中国教壹频道,http://rihou.cc:555/cqyx.php?id=cetv1$TG•IPV4
中国教肆频道,http://rihou.cc:555/cqyx.php?id=cetv4$TG•IPV4
中国天气频备,http://zhancheng.x3322.net:6699/live/1072/index.m3u8$TG•IPV4
中国书画频道,http://rihou.cc:555/cqyx.php?id=sh$TG•IPV4
Ymg未来频道,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8$TG•IPV4
重温经典频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd$TG•IPV4『线路1』
重温经典频道,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv$TG•IPV4『线路2』
重温经典频道,http://live.dxms.top:80/dwy/cwjd.php$TG•IPV4『线路3』
重温经典频道,http://mtw.so/5NPX0U$TG•IPV4『线路4』
动作电影频道,http://cg0.hunancatv.cn:9090/live/CHCDZDY_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604316076&srchost=172.16.22.158:8060&gid=ZF3q5L%2FmYWch1qWqTIPAjw%3D%3D$TG•IPV4『线路1』
动作电影频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcdzdy$TG•IPV4『线路2』
家庭影院频道,http://cg11.hunancatv.cn:9090/live/CHCJTYY_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604316833&srchost=172.16.22.158:8060&gid=c%2BNqgq8pR1ZQ7ZzcmkS8%2BQ%3D%3D$TG•IPV4『线路1』
家庭影院频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcjtyy$TG•IPV4『线路2』
影迷电影频道,http://cg14.hunancatv.cn:9090/live/CHCGQ_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604315487&srchost=172.16.22.158:8060&gid=QTVto%2BZu6pkkcNYy4OxcMg%3D%3D$TG•IPV4
北京卫视频道,http://beijinglive.online.domybox.com:91/live/BJWShd-8M/live.m3u8$TG•IPV4
东方卫视频道,http://beijinglive.online.domybox.com:91/live/DFWShd-8M/live.m3u8$TG•IPV4
浙江卫视频道,http://beijinglive.online.domybox.com:91/live/ZJWShd-8M/live.m3u8$TG•IPV4
江苏卫视频道,http://beijinglive.online.domybox.com:91/live/JSWShd-8M/live.m3u8$TG•IPV4
湖南卫视频道,http://beijinglive.online.domybox.com:91/live/HuNWShd-8M/live.m3u8$TG•IPV4
广东卫视频道,http://beijinglive.online.domybox.com:91/live/GDWShd-8M/live.m3u8$TG•IPV4
深圳卫视频道,http://beijinglive.online.domybox.com:911/live/SZWShd-8M/live.m3u8$TG•IPV4
安徽卫视频道,http://beijinglive.online.domybox.com:91/live/AHWShd-8M/live.m3u8$TG•IPV4
山东卫视频道,http://beijinglive.online.domybox.com:91/live/SDWShd-8M/live.m3u8$TG•IPV4
东南卫视频道,http://beijinglive.online.domybox.com:91/live/DNWShd-8M/live.m3u8$TG•IPV4
天津卫视频道,http://beijinglive.online.domybox.com:91/live/TJWShd-8M/live.m3u8$TG•IPV4
辽宁卫视频道,http://zhancheng.x3322.net:6699/live/1030/index.m3u8$TG•IPV4
海南卫视频道,http://zhancheng.x3322.net:6699/live/1044/index.m3u8$TG•IPV4
江西卫视频道,http://beijinglive.online.domybox.com:91/live/JXWShd-8M/live.m3u8$TG•IPV4
湖北卫视频道,http://beijinglive.online.domybox.com:911/live/HuBWShd-8M/live.m3u8$TG•IPV4
广西卫视频道,http://beijinglive.online.domybox.com:91/live/GXWS-1500k/live.m3u8$TG•IPV4
四川卫视频道,http://beijinglive.online.domybox.com:91/live/SCWS-1500k/live.m3u8$TG•IPV4
云南卫视频道,http://beijinglive.online.domybox.com:91/live/YNWS-1500k/live.m3u8$TG•IPV4
贵州卫视频道,http://beijinglive.online.domybox.com:91/live/GZWShd-8M/live.m3u8$TG•IPV4
宁夏卫视频道,http://beijinglive.online.domybox.com:91/live/NXWS-1500k/live.m3u8$TG•IPV4
重庆卫视频道,http://beijinglive.online.domybox.com:91/live/CQWShd-8M/live.m3u8$TG•IPV4
西藏卫视频道,http://beijinglive.online.domybox.com:91/live/XZWS-1500k/live.m3u8$TG•IPV4
新疆卫视频道,http://beijinglive.online.domybox.com:91/live/XJWS-1500k/live.m3u8$TG•IPV4
甘肃卫视频道,http://beijinglive.online.domybox.com:91/live/GSWS-1500k/live.m3u8$TG•IPV4
内蒙卫视频道,http://beijinglive.online.domybox.com:91/live/NMGWS-1500k/live.m3u8$TG•IPV4
吉林卫视频道,http://beijinglive.online.domybox.com:91/live/JLWShd-8M/live.m3u8$TG•IPV4
兵团卫视频道,http://beijinglive.online.domybox.com:91/live/BTWS-1500k/live.m3u8$TG•IPV4
黑龙江视频道,http://beijinglive.online.domybox.com:91/live/HLJWShd-8M/live.m3u8$TG•IPV4
CCTV-01_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265001$TG•IPV4
CCTV-02_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000001000023315$TG•IPV4
CCTV-03_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265003$TG•IPV4
CCTV-04_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265004$TG•IPV4
CCTV-05_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265005$TG•IPV4
CCTV-5+_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265016$TG•IPV4
CCTV-06_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265006$TG•IPV4
CCTV-07_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265007$TG•IPV4
CCTV-08_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265008$TG•IPV4
CCTV-09_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265009$TG•IPV4
CCTV-10_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265010$TG•IPV4
CCTV-11_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265011$TG•IPV4
CCTV-12_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265012$TG•IPV4
CCTV-13_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031108$TG•IPV4
CCTV-14_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265013$TG•IPV4
CCTV-15_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265014$TG•IPV4
CCTV-16_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000006000233002$TG•IPV4
CCTV-17_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265015$TG•IPV4
北京卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265027$TG•IPV4
东方卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265018$TG•IPV4
江苏卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265030$TG•IPV4
浙江卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265031$TG•IPV4
湖南卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265024$TG•IPV4
广东卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265034$TG•IPV4
深圳卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265028$TG•IPV4
天津卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265026$TG•IPV4
安徽卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265025$TG•IPV4
东南卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265033$TG•IPV4
河北卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000006000040016$TG•IPV4
河南卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031119$TG•IPV4
湖北卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265023$TG•IPV4
广西卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031118$TG•IPV4
四川卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000004000006119$TG•IPV4
重庆卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265017$TG•IPV4
贵州卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000004000025843$TG•IPV4
海南卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000004000006211$TG•IPV4
山东卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265019$TG•IPV4
江西卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265032$TG•IPV4
辽宁卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265022$TG•IPV4
青海卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000002000013359$TG•IPV4
云南卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031120$TG•IPV4
甘肃卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031121$TG•IPV4
吉林卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031117$TG•IPV4
黑龙江视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265029$TG•IPV4
华数__4K_ITV,http://www.72444165.xyz:5005/itv/wasusyt/6000000003000004748$TG•IPV4
纯享__4K_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000011651$TG•IPV4
黑莓电影_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000019624$TG•IPV4
黑莓动画_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000021734$TG•IPV4
哒啵电竞_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000006000032327$TG•IPV4
哒啵赛事_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000001000003775$TG•IPV4
精品综合_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000019008$TG•IPV4
精品大剧_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000013968$TG•IPV4
精品纪录_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000013730$TG•IPV4
精品体育_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000014634$TG•IPV4
精品萌宠_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000006000032328$TG•IPV4
爱情喜剧_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000010$TG•IPV4
超级电视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000006000268003$TG•IPV4
超级电影_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000003000012426$TG•IPV4
超级体育_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000001000009601$TG•IPV4
超级综艺_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000006000268002$TG•IPV4
潮妈辣婆_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000018$TG•IPV4
东北热剧_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000266013$TG•IPV4
动作电影_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000018653$TG•IPV4
古装剧场_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000024$TG•IPV4
欢乐剧场_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000266012$TG•IPV4
家庭剧场_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000008284$TG•IPV4
金牌综艺_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000026167$TG•IPV4
惊悚悬疑_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000024282$TG•IPV4
军旅剧场_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000014$TG•IPV4
军事评论_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000022$TG•IPV4
魅力潇湘_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000001000006197$TG•IPV4
明星大片_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000016$TG•IPV4
农业致富_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000003$TG•IPV4
武博世界_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000007$TG•IPV4
炫舞未来_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000001000000515$TG•IPV4
怡伴健康_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000266011$TG•IPV4
中国功夫_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000009$TG•IPV4
iH爱体育_ITV,http://www.72444165.xyz:5005/itv/wasusyt/6000000006000290630$TG•IPV4
劲爆体育_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000002000029972$TG•IPV4
魅力足球_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031207$TG•IPV4
中央电视,#genre#
CCTV1,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/2500/01.m3u8?&HlsSubType=&encrypt=$TG•IPV4『线路1』
CCTV1,http://zhixiao.outside.live.pthv.gitv.tv/live/CCTV1hd-8M/live.m3u8$TG•IPV4『线路2』
CCTV1,https://vip.taoiptv.cn/source/gitv.php?id=CCTV1hd-8M.m3u8&sign=h51x7y$TG•IPV4『线路3』
CCTV1,https://vip.taoiptv.cn/source/gzyx.php?id=ca1f525f17a2eddd9c98fbe17997d9df.m3u8&sign=h51x7y$TG•IPV4『线路4』
CCTV1,https://vip.taoiptv.cn/source/itv.php?id=CCTV150FPS.m3u8&sign=h51x7y$TG•IPV4『线路5』
CCTV1,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-1-AVS-4K264.m3u8&sign=h51x7y$TG•IPV4『线路6』
CCTV1,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000001000018602/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000018602$TG•IPV4『线路7』
CCTV1,https://livednow.com/migu/608807420?sign=gAAAAABmxHgUrjH-dgPcqiZFuIyroO-XJPVIczmTvjf1lTilmO63CCmSu-o8fD3Kr4EmxmrqnFSdpkXblTzdFYgG82CCw6fFQJwNUUEKY3ZI4t1dz9j7aRhSHLQM4nXipMaGF15z42Nys9AqNu-C5wSRDwcI4VdRv-dxEEfyvA5jdoU8-hmEU3vCVv_Xe4DQ37Lt-WKlPKZNqIfz7iwmrOsNZBnbQLFlsA%3D%3D$TG•IPV4『线路8』
CCTV1,https://livednow.com/migu/608807420?sign=gAAAAABmwyZNGPM1ay1meCLKXXb_L-R4Kx3CzMD5iM57ijZQC7vRutJGubCkzICTfVErlUae2QDF0Mfq3RfT-hdj0l9JBwLfl2X5F_o6qjV5LeEzv8_VShZlh-hme_IeyjmJ6audWLOJAi2cjkG1IIGUoTuzo6GeAbSNiIPdtXNZa8v5OSDjCKdMYxJNS2jwy6bbQLk0_SEoocKOkkNbf3czSi0-qRoZDQ%3D%3D$TG•IPV4『线路9』
CCTV1,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv1$TG•IPV4『线路10』
CCTV1,http://mdxgh.tpddns.cn:88/mdxgh/cctv1$TG•IPV4『线路11』
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8$TG•IPV4『线路12』
CCTV1,http://www.zzlag.top:9087/tsfile/live/1010_1.m3u8?key=txiptv$TG•IPV4『线路13』
CCTV1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8$TG•IPV4『线路14』
CCTV1,http://1b6467f415.iok.la:9931/tsfile/live/1020_1.m3u8$TG•IPV4『线路15』
CCTV1,http://jxcbn.ws-cdn.gitv.tv/hls/CCTV1HD/index.m3u8?gMac=unknown&livodToken=3f76fa247855b9f1507e08620e857dda1b4424839963e7074fc1ee72310d6023_1720504514_604800&fromCDN=ws$TG•IPV4『线路16』
CCTV1,http://gouwu.pthv.gitv.tv:91/live/CCTV1hd-8M/live.m3u8$TG•IPV4『线路17』
CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8$TG•IPV4『线路18』
CCTV1,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv1hd265/57/20191230/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=$TG•IPV4『线路19』
CCTV1,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/01.m3u8?&encrypt=967aa7900f57ec8a3e07ff77f11c9afb&HlsSubType=1&HlsProfileId=1&nphaid=0$TG•IPV4『线路20』
CCTV1,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/2500/01.m3u8?&HlsSubType=&encrypt=$TG•IPV4『线路21』
CCTV1,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8$TG•IPV4『线路22』
CCTV1,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265001$TG•IPV4『线路23』
CCTV1,http://ygbh666.cn/aikmigu.php?id=cctv1$TG•IPV4『线路24』
CCTV1,http://1732e975z9.zicp.fun:8082/hls/1/index.m3u8$TG•IPV4『线路25』
CCTV1,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?Contentid=reallive-hdcctv1&channel-id=ystenlive&livemode=1&stbId=3$TG•IPV4『线路26』
CCTV1,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-1-AVS-4K264.m3u8&sign=06zcwd$TG•IPV4『线路27』
CCTV1,http://beijinglive.online.domybox.com:91/live/CCTV1hd-8M/live.m3u8$TG•IPV4『线路28』
CCTV1,https://vip.taoiptv.cn/source/gitv.php?id=CCTV1hd-8M.m3u8&sign=06zcwd$TG•IPV4『线路29』
CCTV1,https://jump.taoiptv.cn/iptv3.php?id=100100&num=3&sign=fk3aks$TG•IPV4『线路30』
CCTV1,http://iptvcyp.top:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$TG•IPV4『线路31』
CCTV1,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv1$TG•IPV4『线路32』
CCTV1,http://tvbox6.icu/tv/migu.php?id=cctv1$TG•IPV4『线路33』
CCTV1,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000501$TG•IPV4『线路34』
CCTV1,https://jump.taoiptv.cn/iptv2.php?id=100100&num=2&sign=fk3aks$TG•IPV4『线路35』
CCTV1,http://ttkx.live:55/lib/aikan.php?id=cctv1$TG•IPV4『线路36』
CCTV1,https://vip.taoiptv.cn/source/itv.php?id=CCTV150FPS.m3u8&sign=06zcwd$TG•IPV4『线路37』
CCTV1,http://fangke.blueswords.com:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$TG•IPV4『线路38』
CCTV1,https://vip.taoiptv.cn/source/gzyx.php?id=ca1f525f17a2eddd9c98fbe17997d9df.m3u8&sign=06zcwd$TG•IPV4『线路39』
